	author	comment
0	Mariela Quilca	radiohead nal
1	rudi adianto	Kembali ke masa muda.
2	rob phillips	Just fking awesome
3	ADVI UCHIHA	But i'm creep
4	Coco	0:57 💘💘💘
5	Mike Zoulas	Tears and chill and tears and chill
6	尺乇ᗪ ㄒㄖ几Ꮆㄩ乇 & 卄卂几ᗪ丂	You are just like an angel, your skin makes me crry
7	Valentin Acosta	A MY GUSHHTAR RETE ARRTHISHIMO CHINGO
8	Pedruvz	this song is my age
9	dave clarke	"What is the lyric after he sings.. ""I wanna perfect body.. ""I wanna perfect soul.. I want you to __________ when I'm not around?""... Now is the missing blank ""NOTICE"" .. or Is it.. ""NO THIS"" ?"
10	The Harbour Homesteaders	This is how I feel in my soul
11	pöö pöö	LYRICS: When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fuckin' special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around So fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here She's running out the door (run) She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't belong here
12	duda	"Whenever I hear this song my heart breaks. My grandmother passed away on June 1st of that year, I saw her die in front of me and I could do absolutely nothing, this song was playing on my headphones while she was dying in that hospital bed, after that day I was never the same. I feel like crap for not showing how special she was to me, she was the only one who supported me in everything, she was always by my side, even if I was wrong. now after that i don't see any reason why i'm still alive, i'm just living for her.. ""what the hell am i doing here?"""
13	Agus Azzel	🤟🤟🤟🤟🔥🔥🔥👍👍👍👍
14	Blue Couch Productions	"Sorry about my previous comment Mr. Head. I've since come to Jesus and realized I'm not that weird. My mom called me a creep but what does she know? She ain't special. I am. Anyway, keep on rocking dudes. Check out my friend Mizuno, he kinda got that ""radiohead"" vibe ngl."
15	Blue Couch Productions	bro, I was listening to this song, and I kinda felt like a weirdo. Maybe even a creep? call me crazy but I wish I was special. so fucking special. keep it up Mr. Radio, this a bop on jah. (Apologies to Jah, I ain't met him in person.)
16	Sandra Franke	Special
17	MaxximusD	I’m in my 40s, hearing this for the first time in over 15 years, is like entering a time machine.
18	Rodrigo S Perez Jr	2023
19	carla	Everybody loves this tune, but reminds me of my B.F Michelle..R... Don't let me down Believe, once I let you in my heart, to get out, you'll feel my wrath...
20	Danilo Martim	O HOMEM DO FUTURO!!!
21	Joe	People always make fun of this song, but it's very important to me. When I was young my dad used to always sing this to me, so since then it's always meant something important to me
22	UntitledKirk	I've always found it incredible that only 8 years later, they'd write albums like Kid A and Amnesiac. It's like they're an entirely different band on those albums. INCEREDIBLE musicians.
23	Steven Garcia	I'm a weirdo and I love this song this is my anthem till the day I die 🤘
24	vivalavita	Fantastico gruppo fantastica musica 👍 Queste sono le canzoni che rimarranno per sempre nel cuore e nei ricordi ❤️
25	juan carlos coral ruano	When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fucking special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't care if it hurts I wanna have control I wanna a perfect body I wanna a perfect soul I want you to notice When I'm not around You're so fucking special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here She's running out the door She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fucking special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't belong here
26	Marcel Berndt	great as uasal
27	Xavi Langley	"""Radiohead"" is my favorite Creep song. 🥰🥰🥰😻😻😻❤️❤️❤️"
28	Connor's Food Review	Cause I am Pete,Peter griffin
29	Deise De Franca	gostei amigos
30	Ирина Абд 来了	Хочу здесь геев! Не толерантно!!!
31	Bob Kundoel15 Perdjoeangan	Perfect music and lyric..all perfect
32	gaydino1onyoutube	My favorite radio he's
33	Alunk Callisto	dgr lagu ini sewaktu sekolah smk THN 2002
34	BrokenMinister	Im a creep and weirdo...And I'm fuckin special just like rest of you !
35	Lizi Diasamidze	I wish i was special💜
36	Hmetalz	When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fuckin' special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around So fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here She's running out the door (run) She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't belong here
37	ultraviolence	اه
38	UK Gmail	Just the Billion views then... thanks boys... Saw you in the Chelmsford YMCA very early 90s... Snuck out of local widford lodge boarding school fire escape... No one was there 'cept us... Crowd of 30 tops.... Best story I have. Ever.
39	EL Phupphy	Wow.... Still a great song, even to this day. What a powerful voice the lead singer has.
40	Klifford Clover	This song is god “Your Eyes - Klifford Clover”
41	Robert Contreras	Dope
42	Roseberry Cruz	When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fuckin' special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around So fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here She's running out the door (run) She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't belong here
43	Jonathan Kleijssen	👎🏻 I actually like it
44	pool98rubio perez	Imagine watching this there whith them, on live
45	Victor Godeau	Lost a girl I trully loved for 3 years today because of the choices I made, could've made a move earlier and have it all but I wasn't sure about me, stop wandering around boys, you are special
46	Just The Meme Lords Next Door	Kinda mid
47	andy bosik	This dude is creeping me out.
48	Tonny giordan Rodriguez vargas	2023 😊
49	Chris Kibbe	This reminds me of something I can't remember
50	Syntaxx	Cómo me mama está rola
51	silvia rey	When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fucking special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around You're so fucking special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here Oh, oh She's running out the door She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fucking special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't belong here
52	kp patel	Beats the self tik wankers
53	GeorgesAbb	2:00
54	Teresa Lovitt	The best banger of all bangers for ever and ever Amen.
55	I script. And she lieks it.	2:08
56	Luciano Moro	1
57	Flye Aye	Que me la dediquen (;
58	Amayrany Lucio	❤️❤️❤️
59	ratataat Weber	2023 🌬️
60	Nino Wrahatnala	This music was legends in every genre era, oldskool , till millenial genre.
61	its_Sisha_not_chair	When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fuckin' special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around So fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here She's running out the door (run) She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't belong here
62	Kratos Napolez	THIS MELODY TOUCHES MY SOUL AND MAKES ME HAPPY AND SAD AT THE SAME TIME 🤪😭
63	Jonathan Mon	Lyrics When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry … You float like a feather In a beautiful world I wish I was special You're so fucking special … But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here … I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul … I want you to notice When I'm not around You're so fucking special I wish I was special … But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here Oh, oh … She's running out the door She's running out She run, run, run, run Run … Whatever makes you happy Whatever you want You're so fucking special I wish I was special … But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't belong here
64	Larry W	Wow does this bring back some awesome memories... such a great time in music history!!!
65	Lydirius	When I listen to this song, so do my neighbors. 😉
66	Ricezen	though this is the first song i truly listened to by radiohead i will still give the credit to idioteque
67	Somoene else	Que recuerdos me trae esta cancion
68	Fatoş Şabudak	Scott watching this after he eated his parents and called crybaby by radiohead (south park)
69	Linda Gil	2023 weirdo from California
70	Rockabilly_blues	One of my all time favourites songs ❤️❤️❤️❤️❤️❤️
71	mirto arvaniti	I’m only 13 years old and I love rock also this song
72	Erick Faubla	que lindos, cantando su cancion favorita
73	Isa Rosa	A while ago a teacher from my course sang this song to the class, his voice was so good that it made everyone in the class cry for the lyrics and the emotion he put while singing.
74	Free 222	Let's go
75	cocinada con riki	🌹
76	fahrim sidik	masterpiece
77	Classy Caribou	Most overrated song in the history of mankind.
78	lenie ain't trippin	I know Radiohead hates Creep, but this will always be the anthem of depressed and insecure people.
79	Neslihan	Kötülerin kabusu olabilir Rüyaları kabus
80	Dan Par2	Feels
81	Baby Duck Яков Бурнышев Николаевич Душа  	Radiohead - Creep
82	Amz a proper Yorkshire lass💜	The girl he wrote this about knows who she is! An thank you for obviously been a prize Bitch as without you saying what you said that day this amazing song wouldn’t have been wrote
83	carlotta fuentes	Still active in my playlist 🔥
84	inatoli awomi	Still going n will go on
85	ovuvuevuevue enyetuenwuevue  ugbemugbem osas.	Hi
86	Tserenbyamba B	You're so fu*kin special
87	크레토스	외국 최애곡
88	Amirah Roslan	i listen to this song because of him. he leave me but i still listen to this song.
89	PedroVision	"""Creep"" is the debut single by the English rock band Radiohead, released on 21 September 1992... As special today as it was back then..."
90	Tiziana Lepre	❤❤❤
91	jane Suzanne c	Thanks for introducing me to this Jason in 2021
92	HERO HERO-666	literalmente eu .
93	Kamil	I'm a loser so kill me baby... 😎😹❤️
94	alisa	Ah timeless
95	Luis Enrique Gomez	Se que no deberia estar escuchando esta cancion por que alimenta mi deprecion .
96	Kaiser Soche	I'm a weirdo too, this is my theme song
97	Bethzua Mendez	I miss him
98	Caleb Brakeman	im just going to lie here on the floor now
99	Tim S	I’m 74 with stage four prostate cancer and when I’m having a bad day I grab my guitar, crank up my amp and play this followed by Send The Pain Below by Chevelle and my day is so much better. Peace
100	Dale Morgan	Mad to think I went to school with the drummers kid and didn’t even know till I left
101	Pablo Ambriz	la musica es muy especial😊😉🙃🙂😂🤣😅😆😁😄😇🥰😍🤩😘😗
102	Belhelha & Surssina	Priceless
103	edwin alejandro parra	aqui los q se desaogan con tremenda rola
104	luk a	Mimi and josy better for me
105	luk a	2023 and still listening
106	Elias Mitre	0:29
107	Jim McClellan	Desperation, frustration and realization. Everyone has felt that at some point in there lives. Brilliant song.
108	Belen Tk	Love this in every way😊
109	Sandra Blackburn	Crashing guitars
110	Paul Boss	All dont belong here.....I feel that,still moving forward age 49
111	Neslihan	2013-2023 🕳️👹🌋🔥 🕳️🎃👽💩☠️💨🦉
112	Đức Hoàng	best song of my life
113	Levi Krispijn	Someone here in 2023
114	Helen	Лучше чем Нирвана
115	lolbitgXwolfer	I sure do hope the mtv beach house performance of this song goes well!
116	KUDASAM	every man has ever admired a woman who he thinks is very special, but feels that he doesn't deserve her.
117	Wahyu Puji Septyawan	Keren
118	TATIROCK	Hermosa canción trate de hacerla en español espero 🙏 😍 le guste
119	flex	Saludos desde Argentina campeón del mundo ☝️🏆🥇💥💪
120	James Dean	Hey you guys remember when this first came out and was playing on MTV
121	Riki Prawoto	Lirik When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fuckin' special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around So fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here She's running out the door (run) She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't belong here
122	Enori Kudari	This song is calling me out fr
123	NEGATIC	This song makes the pain and sadness the same
124	Elias Sancillo	I really wish I had this song my entire life such a unique and well put together masterpiece absolute virtuoso of a song doesn’t get any better then this so raw and simple but so deep and powerful it really makes you have a feeling of acceptance of yourself and let’s you say you are who you are and you accept it and love it WOW is all I can say and let’s not get into his delivery of these lyrics what a god like performance top 3 songs ever and not debatable
125	Aldy Surya Ramadhan	i like it
126	Walking Through Worlds	This is not a song, it's an experience.
127	HECØR	jk h
128	Ayume Nick	Isso dói
129	andrew michaels	I had to come back to this song, why because it makes me think about life makes me think about everything and everybody I just want to bless the United States of America and for those who are not like us go fuc yourself!!... It's not who you are as what you think you're not going to hold you back in life gather your thoughts and make it count everyday God bless those like us...🇺🇸🗽💪✌️✨😇👍..
130	Marjorie Ortiz	Canción que nunca pasará de moda
131	PV 45	temazo
132	Dendi Satria	2023
133	Siegfried Ausländer	Scott tenormann
134	Fulya Ozkan	Good old 90's...
135	Ian Alderton	I really hope they earned a heap of money from this song, because they have 'more than' deserved it
136	Саша Сотник	"I thought that nothing can kick me in and i really like. But i saw Joe Division's ""Ceremony"" by Tom York... And Radiohead became my favourite band. Their creation passed through all my life, i liked art of their first album, when i saw it on the internet, and even if i didn't understand some their songs, it was something unusual for me and took my heart, and it's cool"
137	Richard Geller	"When I was a teen I started relating to the lyrics but it got me down because I was harsh on myself.... But in the end , the ""I don't belong here"" would make me feel at peace, I just have to accept that this is who I am then, I thought. A few years later and real life experiences, when I hear ""I don't belong here"" I feel wow I was so harsh on myself for nothing, I am my friend and I love myself and tomo I will get better. It doesn't make sense because the lyrics don't talk about life, but anyways Thank you Radiohead♥"
138	Michela Virgilio	LA adoro 🥰 ❤ vorrei un corpo perfetto.. vorrei una anima perfetta.. 😢 cosa diavolo ci faccio qui io non appartengo a questo mondo 😍😍🥰🥰😍🥰Bella Bella Bella
139	김아중	For loser
140	Jayston Evans	Ah yes, one of the songs of all time
141	muhammad prajawanto	distorsi reff is legend
142	Dhia Danish	Ouch..
143	The Tarot Star	🌼☄️
144	jackvalinski	нет
145	Idyllic Pluto0	Yeah
146	teguh	I have heard this song since 20 years ago, :D
147	Strange Lee	❤❤❤
148	Stefania Basini	52 and still listening 🎧🎶
149	Pigs lips and backflips	🙌🏻
150	Dave Spence	Check mate
151	7Skyy  瘢痕	Música linda! Só não é mais linda que você BR achando esse comentário😏
152	Jessica Hie	I’m here so my daughter can hear this song. Her ex is trying to get back w her. He’s a creep
153	Eyeball Seegood	I came late to Radiohead. Glad I arrived.
154	Cammm 06	you know it’s good grunge rock when everyone in the band has disgusting haircuts!
155	Calvin Jones	759 million views and I'd probably say I have about 10 million of those. Will never get old for me!
156	Witalo Menezes	<3
157	Ирина	😚
158	PT	❤️❤️❤️❤️❤️
159	Midknight	Love this song he's god
160	Thiago Almada	massa
161	Donna Kreischer	I listen just to hear that high note...
162	musicas xd	what style of music
163	Tessa Neugebauer	Wow. It's hard to believe this song is over 30 years old. I was 13 turning 14 when it came out. And I still f****** love this song. It's awesome. It sounds just as good today as it did back then. Actually, I see how much better music told a story back then than it does now. Maybe it just seems that way because that's when I was younger and more impressionable.
164	beautyfrompain x	this song always resonated with me. Felt like my middle school/highschool experience. Too real
165	Evan Chamayou	who is here in 2023 ?
166	뚜뚜뚜	내 인생 최고의 노래...
167	Jay Santana	This is the best part of the song everyone strums the guitar 1:52
168	Happy Yatim	Greenwood guitar sound is very iconichere
169	Angga Adi Prabowo	Ndebuzz, I love you
170	Samantha Gunn	If I am in a good mood, this leaves me uplifted.
171	DHRUV	1
172	Zeyad	❤
173	J Fresh	Yeah 👍🏻
174	The-Art-of-Guitar	I used these lyrics during a few dates back in the day. haha. Didn't work.
175	Lady Miss	this song is so bleeping special
176	вестник анархии	Очень хорошая песня заставляет забыть всю боль. Привет из России
177	Fedri Daryono	Merinding denger lead guitar nya
178	Mike Winkelman	Super song
179	Man sick 1	Ella es tan especial cuando la ví por primera vez lo sentí , desearía que hubiera terminado diferente yo sé que no te correspondía desde que llore en tus brazos por declararme contigo hize todo lo posible para por lo menos hacerte sentir mejor el día a día aún así , me duele saber que nunca vas a saber cuánto te amo Ana 😞😢
180	jeff m	By saying you do not belong denotes seperatism.
181	jeff m	You do belong there bud.
182	Philippe Cuypers	Love you baby you are the best go baby go baby we love your job ❤️😘❤️😘❤️ it l had
183	торт123	Красиво
184	Lisa Kuntzman	Emo at its best
185	TheReaper’sBack	Forgot about this song, wow
186	Lola Ortiz	Maravilla canción 😍😍😍
187	alonso	...ojalá te dieras cuenta.. cuando no estoy..
188	flylo	this is a fucking masterpiece, period.
189	Purna Konar	I wish I was special 😔😔😔
190	Geet Chadha	Depending on your age this track can be: 1. An awesome song 2. A feeling 3. Reality
191	Lingard The Goat	2023❤
192	WolfSeven	as Paul Mcartney says.. legendary...
193	In Crypto We Trust	Legend distorted guitar riffs. No other like the guitar riffs on this song.
194	Matia Mujollari	one of the best songs ever
195	Дмитрий	У Земфиры песня есть точно содраная ,про маленькую девочку)))
196	Sulman	Damn I just discovered Radiohead a couple of days ago and now they are the best band on the planet for me
197	Steve Gunter	So our lives and the way people make us feel
198	rizkytaufik official	2023 here?
199	b1ku	....Manolo Sánchez....
200	Andriano moreno	Now 21-01-2023 love this song 🎶🎵
201	CLOUD 9 SHROUD	2023🇵🇭💕
202	Fajar ilham	The best part is sabotage of greenwood
203	Haru Sae	I've been in love with a girl for a while, I've never really had a positive self-esteem, so even though I even dream about the girl, even after a long time I haven't had the courage to declare myself, it really hurts to live like this, I think I'm nothing to have chance to be with her, she is so perfect that I don't think I deserve her, and at this point, even though it hurts, I think I'll give up. :) I am a creep.
204	Lena Jackson	Hollies- Air that I breathe
205	Thomas Wilson	Not me discovering for the first time like 👁️👄👁️
206	Ben’s Wig	I’m a creep. So what?!?
207	Gi	I don’t care if it hurts I want to have control
208	James Donnelly	Your just like an angel skin makes me cry..
209	wiki	I hope she's happy with that guy
210	条愛	Since now and here forever...
211	Leon Gouws	Forrest Gump composed this song
212	deerbag	i disagree
213	Carmen Salcedo	love this song before and now, forever and ever!!
214	Bad Davinci	the best Moment in this song is when pre Guitar Distortion before chorus. That Baddas
215	John DiGioia	14 years and it's still cutting edge
216	Princess Truth	Why do I love this kind of music ? I‘m not maso , I believe it‘s why I never felt the earth as my home - I‘m a foreigner on this earth . This can happen , but it‘s weird . People are so stupid , boring -❤️‍🔥
217	Aquiles Venancio	What a Hell Im Doing hereeeeeeeee??????
218	neal baker	For all you freaks, weirdo's throw your hands in the air like you just don't care. But, be cool you don't want to go to the places I've been in Cali, yikes. You'll be alright.
219	Ghader Cell	my special song 🎵 ❤
220	Yan Yoshida S	Stay here 2023
221	ethan pro	grognasse au miel
222	ethan pro	anus de bronchite
223	ethan pro	meurs pd
224	ethan pro	plagiat JUL
225	ethan pro	plagiat de plagiat
226	marta m	❤️
227	CreepN The Frog	This song is my go to for letting something go or allowing something to end. Closure @ its soul is my 2 cents here
228	Music Future	This song is 1 year older than me :')
229	Luiza Esteves	🙌🏻👏🏼👏🏼👏🏼😍🎵🎶 SHOWWW 🎶 SHOWWW ❤️
230	Elian	No debí dedicar esa canción
231	kurishey	The more you understand the meaning, the more it hurts.
232	Scotty Elliott	That 20 or so seconds at 2:40 ... I always look forward to this every time it starts. And he kills it live too.
233	jold722	de los mejores temas del rock aún en 2023
234	Faris Abdul-aziz	20-jan-2023 nd we still creep
235	Isabella	🧡
236	Alexander Venegas	papu no :(
237	Zuriel Rosas de la cruz	Am a creep Am a weirdo
238	rickey lama	Who’s watching in 2023🎉
239	harisman man	Yeah,,,!!! 21 january 2023.
240	Viktor Burtsev	о уже стучат соседи......
241	Viktor Burtsev	ну..ещеразна всю... примрно 90 ватт...советскиви.....
242	Viktor Burtsev	соседи в шоке.....на всю.....поверьте колонки достоные....
243	Viktor Burtsev	ну иностранщина встряхнитесь....
244	Viktor Burtsev	бля буду забанят .но песня охуительная..........
245	Justin and Hanna	Somehow this song just keeps getting better as the years pass!
246	CarBitGTSaxen	Ah geez don't start singing Ned
247	Leonidas 63456	that's a piece of shit
248	michael papa	0:57 white peoples favourite part
249	Lawrence Ebale	I can't say I want her to be back
250	Danito	pablo miel temazooo
251	ktitpat raksagulpiwat	2023 😅
252	Rifal Outsiders	🙌🙌
253	elias	NO THOM NO CANTES ESO NOOOOO NOOO 😭😭😭😭😭
254	Faby Sandoval	💗💗🎉🎉🔥🔥
255	Deanna Hinmon	The Vincent Cannady Cover to this song is literally amazing
256	Fiorella Pedota	✌️❤️
257	Crepe Reed	Crepe widingham
258	Crepe Reed	📃📌
259	Crepe Reed	Am I a creep ?
260	Crepe Reed	📌 AM I CREEP?
261	Kenny Torres	Mejor tema 2023 un clasico😊❗️❗️
262	Bert Brown	Patrice O’Neal brought me here today!🥲
263	JYY	😌
264	EV MOLLET	Classic
265	Stella Colmenero étoile	Cette chanson me fais toujours planer ! je la chante à fond dans l appartement ! 😜
266	Lord England	One of the best bands ever.
267	Milo	I’m a creep ..
268	lyan	this was playing on the radio as i was on my way to school w my family lmfao 9:26 pm thu jan 19 2023
269	Jacob Larsen	put this song 2x speed sounds goofy asf but lowkey good… try it
270	Martha Cabrera Romero	AMO♥️🇵🇪♥️🇵🇪♥️🇵🇪
271	all i ever wanted was the world.	★
272	Adam Podlewski	Biden 2024
273	문태일진심녀	30년 후에 들어도 안질리고 안촌스러울 노래
274	daniel Hernandoz	Brooo
275	marité Gabriel	Je ne m'en lasse pas J 'affectionne particulièrement ces musiques planantes qui me rappelle les années 70 Sans le joint je précise 🌼🌺🏵😏
276	Your_average_jane	I’ve been rejected and hurt by so many people that I treated like gold in the past, it hurts :((..like my friend who had severe driving anxiety, I brought her to places to have fun, made her feel like she had a person to confide in, took phone call after phone call when her bf was treating her like shit…she goes and sleeps with a guy I was dating
277	Your_average_jane	The most relatable song in existence
278	Juni Arta	19.01.2023
279	Nazwan Ibrahim	healing time
280	Adriaan Doelman	0:43 😗🎶 holy smokes Jonny...!
281	무 나	이때로 돌아갈 수 있을까 그때의 내가 너무 그립다
282	майский жук	❤❤❤❤
283	Douglans Salazar	excelente tema
284	P p	But I'm a crip im a wirdoooooo bai my coochieee I don't begon hear
285	Ааа ббб	Эта песня в моем сердечке😍
286	sadman uddin	Happily ever after.
287	Piroshki Cmrd.	"After months of suffering, I finally broke out. But now I start to feel that I am becoming the inmate of depression again. ""I want you to notice, when I am not around..."" Truest line. Truest one."
288	Gloafem MSMSMSM	Ты самый лучший, не думаю, что смогу найти лучше тебя
289	Gloafem MSMSMSM	Живи счастливо, всегда
290	Gloafem MSMSMSM	люблю тебя Егор
291	nl	:(
292	Code 1	Shame that they (Radiohead) hate it, creep is an amazing song
293	Jorge Ramírez	😎🤟
294	Oliver Espinoza	Te amo radiohead
295	Nato	me fr
296	Mehak Verma	I've been single my whole life. And for the past few years, I would come back and listen, over and over again...But now somebody likes me, and I like them. I think I might be entering my first relationship soon...so this time, when I listened to the song, it felt different, maybe it felt worse. I'm afraid to let him in. To tell him I'm a creep, because I'm afraid he'll run away. He'll know I'm a loser. He has no trouble opening up to me about his problems, but I would never tell him any of mine...
297	VW Fan	Was in High School with this bad ass song.
298	picanha paulo 666	Não entendo o por que dessa música ser comparada a get free
299	The Deflektor	People: This song is good Radiohead: NO
300	Raul Carpy	joyita
301	LARD GG	Bro speed this song up to 1.25 by accident, best mistake of my life
302	George Premium	What the hell am I doin' here?
303	Jacqueline Dinan	Love you from Irish Jackie
304	Miguel	His acting is so fucking good and natural in this one, he's like angry that he can't have who he wants because he can't possibly be at level, so it becomes a sort of love-hate, he's fighting hard to accept that he can't blame, that there's no way around and has to let go. When he realizes that she runs away he breaks down crying like a baby, then after letting everything out, acceptance gave him peace. Best performance.
305	fock.__boy.__http	When you were here before Couldn't look you in the eye 💔
306	Felipe Balardin	Muito bem tocada e cantada Um clássico!
307	YASH CHOWDHARY	Yet always I'M A CREEP I'M A WEIRDO
308	Jesús Mario Miramontes.	Muchos recuerdos de mi hijita Grecia.
309	lunix	AAAAAAAAAAAAAAAAAA
310	Yaeko Narvaez	Magnifica cancion me encanta ❤💪👏👏👏👏
311	MegaNutt 07	me and my best friend listen to this song when we both in our feels
312	tak	Me fr
313	Euthalia Avilyn Gonzaga	best song ever
314	Brenda Du Faur	I just came from a utube video Chloe singing Creep with her parrot. It's incredibly beautiful.
315	Rz Rapper	It gave me Goosebumps 😱💥
316	Alvaro Junior	I’m weirdo and I don’t give a fico 🎉😂😊
317	Wobbles	2023 and still amazing 👌
318	James Ivory E., III	She exceeded his threshold for admiration, and where admiration/adoration pivoted to disdain owing to her narcissism and implicit discounting of his worth in the delusional, subjective pecking order of social hierarchy. -J
319	Bradb46 music vids	This song describes me and my current situation,head on!
320	fan_ de_la_vecibanda	Esta canción me hizo llorar me siento inconica te quiero radio heat
321	Swikar Thapa	14 years lot of hapenned in life bur this song every time i hear it... still touches like it came only today.....🖤🔥
322	Swikar Thapa	Some one told me that Radiohead is the band thay coldplay always wanted to be🤘 🖤
323	Liza Maria	PERFEIÇÃO DE MÚSICA❤🥀🎶 Esta vibe es tan divina y perfecta❤❤❤
324	Sa HaRa	I'm back again!
325	Ghika	Koga-san sure is cultured
326	Milena Aguiar Rocha	Há 14 anos essa postagem…e posso garantir q eu era mais feliz
327	BRITANY XDdd	𝙎𝙤 𝙛𝙪𝙘𝙠 𝙨𝙥𝙚𝙘𝙞𝙖𝙡 😞
328	Frances Morales	Whatever makes u happy! Whatever you want..your so f*****n special...!!
329	sara ibañez santamaria	😀
330	Some Fellow Up North	Every single word in this song just feels so raw and true, and it feels all too relatable. Radiohead really knows how to write some incredible and emotional songs.
331	Isaiah Russell	I don't even listen to rock like that and I love this song.
332	Mick Ryan	Curly headed dude in the crowd at 2:11 is Four Tet lol
333	Marcos Gomes	BROLDMAN 2023 listening
334	Lola Truitt	Any weirdos in 2023 !!!
