	author	comment
0	Iggy Pop	❤️❤️❤️
1	Brandon Lewis Gaming	I think this was the best piece of pop art about death until Bowie’s “Blackstar” 12 years later
2	Z K	The point of this song is beyond what many people think. He’s referring to his past life of fame , drugs and trophies as an empire of dirt that will fail you not only emotionally but you can’t take any of that to the grave, it’ll give you pain and hurt especially in comparison to the gift of salvation in Jesus Christ that has victory over the grave. Jesus is the way the truth and the life. The 10 commandments are the moral law, you and I broke the law, but Jesus paid the fine. That is the whole purpose of the coming, death and resurrection of Jesus Christ. To pay the wages that were due to us so that those who believe will be pardoned on judgement day. I believe this song has a sense of regret of choosing the life he chose in the past over the precious gift of salvation, when we know this truth and continue to indulge in sin, it’s as if we are nailing Jesus back to the cross. But I believe Johnny cash came back to the truth and entered glory with his Savior.
3	HEITOR GEREMIA	10
4	Mister X	Einfach nur geil
5	Joe Stevens	The older I get the harder this song hits. ❤
6	Neil Menzies	Love this most honest song I've ever heard ✌️
7	John Sagsveen	This is one of the most metal pieces of art I've ever seen
8	Marc van der Kruis	@Jesus Cespedes No way dude... I literally JUST did Arthur's final mission 2 minutes ago... and I needed to listen to this song... talk about coincidence....
9	Олег Михалап	Nice song
10	27neverlose	What an incredible song. It's amazing how every verse has the meaning of our past life and the death that awaits us all....
11	Jesus Cespedes	This song would’ve been great for red dead 2 when Arthur dies
12	VicGeorge2K6	My father just passed away recently (1940 - 2023) and I was thinking of this song
13	Alaa	Full of broken thoughts
14	Алексей Потапов	это просто - ШЕДЕВР!!!
15	Artyom Tsaryov	Вообще чётко
16	Winterwolf	Currently losing my brother now.. I understand you Johnny... I understand it so well..
17	Gaurdian Tome	Because you all killed son.
18	DAPICS	I hurt myself today To see if I still feel I focus on the pain The only thing that's real The needle tears a hole The old familiar sting Try to kill it all away But I remember everything What have I become? My sweetest friend Everyone I know goes away In the end And you could have it all My empire of dirt I will let you down I will make you hurt I wear this crown of thorns Upon my liar's chair Full of broken thoughts I cannot repair Beneath the stains of time The feelings disappear You are someone else I'm still right here What have I become? My sweetest friend Everyone I know goes away In the end And you could have it all My empire of dirt I will let you down I will make you hurt If I could start again A million miles away I would keep myself I would find a way
19	Chinmay mandal	Wao… those few words by Trent Renzor… ❤❤
20	Not so hunkey Monkey	This is the closest a song will come to making me cry and it was damn close
21	OscarDev	I will never forgive him for being impatient on that pause between the verses and chorus where Trent sets the tone, but here he just jumps it.
22	Not Sure	Oh man, I am more scared to grow old and suffer than of dying :(
23	William Kennedy	I think Trent Reznor produced this. Powerful Try Gods gonna cut you down. Also powerful
24	Steven Wolf	9 inch nails
25	Steve Blundon	"The year is 2002. A guitar student comes in for his lesson and asks, ""Have you heard Johnny Cash's version of Hurt yet?"". I quickly find a copy, cue it up and sit in my teacher's chair - just - listening. Replaying it three times because I can't believe what I'm hearing. I've never, ever heard anyone sledgehammer their stake in the ground with such musical perfection. Johnny absolutely OWNED this song in every way. To this day, his version still has the same effect on me, and probably you as well."
26	Quim Buth	The real Truth of life
27	Huize Vulto	i cannot imagine the emotions this song conjured. a true legend signign off. gone, but NEVER forgotten.
28	Shelby	what hae i become my sweetest frend
29	russ morrow	Legendary performance
30	Rick Salisbury	A 20 year old Trent Resnor ,(NINE INCH NAILS) wrote this song. Trent says Johnny owns the song.
31	Martin Smith	The most poigont film I ha e ever seen.
32	Todd A	I found Pretty Hate Machine in November of 1989 after jogging to a record store in Lake Tahoe...been a Trent Reznor/NIN fan ever since. Absolutely beautiful, monster of a cover. How the fuck did I miss this?
33	Orcastro Júnior	Listen, this song can also be great: https://youtu.be/Tt-ABLG4KC0
34	Orcastro Júnior	Waw. What a song
35	Iskander Utyashev	It's been officially 20 years since Johnny Cash has died and this song is still here to keep his legacy alive!
36	Connor Prince	He lowkey looks like he could be godfather
37	Cristián Gonzalez	So very deep
38	Colin Tomlinson	I am the youngest of seven children I dearly hope that I don't have to say goodbye to my six lovely sisters
39	silentdeathwish	Kill or be killed
40	Vlcoun	Respect to this man.
41	Pepe Gomez	"""Good artists copy, great ones steal"" Pablo Picasso."
42	Roman Castorius	Он как такая старая черепаха, вся в наростах...... Как дух вечности.... Дух американской вечности..... Бесконечно мудрый и притягивающий к себе своим чарующим голосом.... Охуенный чувак!!!!!! Он вечен в отличии от многих из нас....
43	christian rossi	one of the best song in the history of music
44	Vottoto Iono	'm crying
45	Patrik Huljak	Man...
46	Deep Learning	The Gods a God
47	tRex	You can't do it much better than that. Song and video.
48	Gary Robinson	A fitting last song for a truly american original
49	Jamie Soden	❤️
50	Art Fleck	I can't stop playing this and I can't stop crying.
51	Sean Atherton-Feeney	The greatest compliment to a song writer is to have their song covered so well its authorship is lost and the global community forgets you wrote it. In that forgetting can be found, ironically, immortality. Thanks Trent and Cash.
52	Dan R Goodnight	incredibly powerful and still causes a problem with my allergies
53	helmut23456	This song touches my soul.... Johnny's greatest work; he saved it for last~~~~
54	Dan Gennaro	You know, I was never a big fan of Johnny cash, never was a country fan at all, I said his music was too dark or sad, or depressing as a teen and young adult. Then you get older and life happens, where you find yourself in a dark pit, when everything is upside down, wrecked, and all of a sudden his music resonates so much more in my soul. Especially this song above all else. What a amazing anthem.
55	Mike Freitag	I can’t even listen to it. 😢
56	David Cox	Cash's version of this song still makes the hairs on my arm stand up. 25 years ago, if someone suggested Johnny Cash was going to cover a Nine Inch Nails song, I would have said that's a stupid and even ridiculous idea. But my God, this song is at another level. So emotional it rips you apart.
57	Matz Hatz	poor rich man😭
58	LazyDemonSeed	LEGEND
59	grezy_mechta	Awwww am so emothionnel.😱😱😱😱 am litteraly crying😱😱the piano is good😱😱 Fck off cringy ppl w ur shit music taste
60	Frank Tillman	😭😭😭
61	Peter Nicklin	Every one I know goes away in the end. Mom and dad I miss you.
62	Cesar Elias	one of the most honest pieces of music ever created
63	Autism Social Cast	Time forces the memory in its place. Instant gratification is only for the Cool Cats. Let me explain. Memory makes you want to go back to that feeling. Addiction, a terrible thing that the elite neurotypicals. Resistant to peer pressure unless it for its own petty gain, then force must be used, because natural selection never ends well for the monster. You will never take down the ringleader, you can persuade those around them to pull the trigger.
64	DrMattDestruction	they lied to you about the minimum wage. if the minimum wage was $0/hour, you could've been hiring employees since you were 14. everyone can afford to work for $0/hour if the Universal Basic Income is in place. let's give everyone a guaranteed minimum income of $1,500ish USD/month. tretettetet
65	christianlorre	It's so chilling. And so sad seeing how much he aged so badly. Brings out a lot lot of pain because I remember my mother and how much she changed in the last 25 years of her life going downhill so subtle until you realize how much is lost far too late.
66	Bradley Carrico	I really wanna know how this song came to be chose. So different from the normal Johnny Cash songs. What a cover! It’s no longer a 9 inch nails tune.
67	Lemar Tin	What have I become- my Swedish friend?
68	Dimka86	👍🇺🇦
69	Seba Promyk Official	Brilliant!💥👌
70	spietzjo	🔥
71	Bernhard Odorowski	you can't just leave! we need you!!! told you to stay the hell from me you hear?
72	Mark Cargill	Thank you JC for everything. Love from Scotland.
73	Tobias Kuhn	I loose it everytime June shows up and I can't stop bawling my eyes out
74	Clint Potts	I grew up listening to my dad listening to Johnny Cash. He had all the early albums and when he got in a particular mood, the Johnny Walker and the Johnny Cash came out. He'd sit in the dark listening to all of the old songs. When the music stopped and the lights went on, dad was himself again. Sometimes, you just need to feel some pain. I always respected Cash but it was this song that made me understand. This song made me a fan. Sometimes, you just need to Hurt.
75	Whitevaliantwarrior	🎼 It doesn't matter who you are...Great, small or tiny, burnt out with nothing to your name. No matter what you have attained or all the money, fame and riches to your name. Because in the end you take nothing with you. All will stand before their Maker, Creator of all mankind, The highest, most mighty of any & everything. ( 2 Corinthians 5:10 ) For we must all appear before the judgment seat of CHRIST, that each one may receive the things done in the body, according to what he has done, whether good or bad. ( Romans 14:12 ) So then each one of us will give an account of himself to GOD. ( Hebrews 9:27 ) And as it is appointed for men to die once, but after this the judgment 🙏 🙌 .
76	Fabian Gillich	) 20232601((1327) Alphagebete derWirklichkeit DerTisch Deut ist deutsch lebt Gedicht und Gericht der Juden ewig Krieg als deutscher ihren Verbrechen uns das Wort zu nehmen! Bis Ende der Welt wird Jude Feind sein in unserer Welt! Uns unterwerfen ohne den Rang des Wortes zu lehren! Rutschen und Schwingen ist vom Kippen und Koppeln der Ro ktik ein Gesang der Gitarre ein Kann! Das national sozialistische Arbeit gelebt wird und gebetet und jeder Gläubige Verräter die derheikugtümer des Wortes und wörtersich eindecken sind Feinde im Nordrreich für unendlich Zeit!
77	Nathan Diaz	I’ll meet you there, if there a there
78	The Lean Ranger!	Powerful
79	iam_henriettajonas	After a bad breakup. I remember crying to this song in the shower
80	Delia Art	I remember fondly riding shot gun in ol' Nelly Bell my dad's second generation f series.. radio turned up with Jonny Cash. I always say with pride to this day that I grew up with the best music ever. I wish country music was the same. Oh the good times good days. One day I'm gonna buy me a truck just like my dads travel to whever the road takes me and blast Jonny Cash on the radio..
81	Miss Deadite	parts of this song both the NiN version and his cover are basically the relationship I have in my head with my mental illnesses. At some point I make a new mistake and they feed off of each other over and over. Never ending pain for days or weeks. I get to a point where I shut down. The pain numbs and I can function again until the next mistake and it begins again.
82	Sheenia S.A.R.G	This song makes u cry...I haft to say this is the sadest song Johnny Cash has ever sung its sad to see him and June gone They was the best country singers they will be missed..
83	Bastian Guerrero	One of the strongest voices ever been heared and it will still in the futre without doubt
84	Isac Arnold	'What have I become' a fucking legend. Even though you pasted before I was even born, we all still miss, love and respect the man in black
85	* * * Chief89 *	It is awesome.
86	Diceman939	Yes this song will make every one with pain they have experienced in life appreciate this song and feel his pain at the same time. We’re not alone kind of feeling.
87	Karen Maclean	❤️😘🤠🙏🏻
88	Brody James	I miss you Eddie
