	author	comment
0	VDS	"""Gimme,Gimme, Gimme"" ""Money,Money,Money"" they not only have the best songs, they also have the best titles"
1	Tobirama Senji	ABBA-одна из групп которая не умрет,даже если умрут они сами.
2	Nicolas Cage	This song is playing on the memories.
3	Bruce Danton	Truly wonderful-thank you of course!!
4	Jolt Jolt	Keep singing, abba!
5	Yahia Ashry	ABBA .. Evergreen 🔥
6	Halid	I want to create a time machine for to going 70'S.
7	Pumpkinhead	Is it just me, or does anyone else think most ABBA songs would make great heavy metal covers? I just can't hear an ABBA song without imagining what an awesome metal song it would make. I guess when a song is great, it's just great in any genre.
8	Susan Robson	I love this song Susan
9	Eve Wang	Oh my freaking... my girl is learning this song for a 🎄performance
10	Yli4n	I would kill to be a teenager while abba was releasing these bangers
11	Hiiro Haibara	To be honest, this song is still relatable till now. How money changes everything. Work day and night, just to earn money, hoping to be happy. The song is the harsh truth of our world
12	Ms. Carrie	У группы ABBA такой не обычный стиль, прямо кайфуешь с их песней👁️ Изменено: спасибо за 301 лайк😵
13	тетя негр	This is the best song I've ever heard..
14	feder supertramp	MONEY MONEY MONEY... IS THE HAPPINESS FOR ALL!!
15	Hoang Quan Le	When your mom lets you keep the change
16	Тамара Максимова	Эта легендарная песня звучит в сердце из далекого прошлого,разрыаая душу пополом! И...НИКАКИЕ ДЕНЬГИ! не помогут нам вернуть то прекрасное время обратно!...
17	Jhon Romero	Sinónimo de Leyenda: Abba. Su legado nunca morirá!
18	Echo Midnight	NICE SONG
19	Jafs	This i will play for the weak minded in my project for sure 😁😂🙃
20	Outson Fredrick	Still true today. It's a rich person's world.
21	Jackie😻	I don't care if my music taste is old, I love this song and I will forever.
22	Jeffrey Tidwell	I was in high school when this song was released. I remember it playing over the speakers in the grocery store. My electronics class used to have the radio on low and this song would start playing. Oh the memories!
23	Tristan Harley	Everyone's praising the music but can we just take a moment to appreciate this iconic cinematography?
24	Fernando Fernandes	The band is Swedish, the kimonos are Japanese, the lyrics are in English, they use dollars and I'm Brazilian! ABBA is the most worldwide musical group that exists!
25	GuppiePowerYT	this might just be me, but I feel like this song would make a great villain song like if someone were to make a jukebox musical with a villain obsessed with money, this song would be a perfect fit for them
26	Замира Зайлидинова	Прекрасное исполнение и отличная режиссерская работа! Молодцы!
27	Курбанов Махмуджан	Очень популярные артисты проста класс
28	Glenn Hoddle	This song will forever be a *classic* and a *vibe.*
29	Dudu Ortiz	It is just me that feels this music has a “disney villain” theme vibe?
30	Kitty	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
31	OPER KOD	Одна из немногих Песен, текст который будет актуален для всех поколений.
32	Валерий Ермолаев	В 1992 году слушал этот трек по советскому радио, утром на кухне, когда во 2-3 класс ходил)
33	kithen	1:56 omg the choreography is on point and the whole entire song itself is just perfect. I could play this song on repeat for hours
34	Warenya	when you find $1 in jeans you haven't worn in a while
35	Edgar Oxales Jr.	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
36	Mirta Flores	Otro de sus éxitos de ABBA nunca se olvidarán éstos ritmos
37	Fan[И.Б]	То чувство когда ты будешь играть его на экзамене по фортопиано
38	Abdullah-Al Mamun	ABBA is one of my favorites music Band in all Time
39	Nellie S	This song just sounds rich, I don't know how to explain it. It just sounds expensive and luxurious. I love Frida's black outfit in this video, and I really love the way it's filmed, the lighting and all the shadows that are created. I also really like their kimonos and their dancing! Stunning video.
40	Kenttä talli tähtikavio🐴🐴	I love this❤❤🤩🤩🤩😍😍😍!!!
41	Elod Nagy	The best ABBA song! The piano solo at the beginning is my favorite! Abba Forever! 😄
42	Debra Montelle	I remember listening to this back in the day
43	🦄ASH piñata🥳	Is it just me or does the song give off a half halloween vibe? I don't know, I just know that I love ABBA songs 💚🇧🇷💛🎧🎶
44	giada caredda	I'm 14, in 2022, I'm still listening to this type of music, i hope that this music will never die
45	Addison Leigh	I just love this song. I’ve been looking for it for a little while now. I’m glad I found this!
46	Viktor Bluzma	Моя любимая песня из моего детства
47	steven kane	i love this song
48	Юлия Белоусова	Композиция - Легенда 💯💣🔥
49	Alan De Jong	2021 Abba has returned. Just what the world needs. Abba has never left the stage
50	Sophia Annette Georgina Simarmata	2023 and still in here, hope this type of music will never die
51	Googleアカウント	小学生の時 給食の時間か掃除の時間かに流れてた。 たまに聞きたくなる。 頭に残ってる。
52	Наташа Шатунова	Классика на века!!! 🔥
53	RoboTube	ABBA are not just some dorks like many pop bands that have chicks. They make cool parts. The I mean, listen carefully to that piano part to that grooving bass and the rock guitar. They are legit rock , funk parts. Not just a accompanying music for the eyecandy women. Everyone likes ABBA because they have everything. Every instrument that plays is top notch, the pop is there with the hooky vocals. I dont know if these people are conscious about how fucking talented they are. This is as best as it gets in pop.
54	MrFactualGaming	ABBA is one of those bands who will just never die, even after they're gone themselves!
55	Daniela Pérez Martínez	I love this song ❤️
56	Moytea Colney	"Childhood memories evokes; Me:while walking the path and something look shiny ✨️ . ABBA: money,money, money. ""Those joyfully days"". 💯% masterpiece <3 ."
57	SunnySparkles	I love this tune, she tells you a story
58	Yo MaMa $-$	Its 2022 and this song is still iconic
59	P C	0% Drugs 0% Violence 0% Sex 100% Money💸
60	Наталья Фролова	Хорошая песня!Мне нравится💓💓💓
61	steve ifko	Wonderful harmonies.
62	Lauren	Love it!
63	manu gacha :3	Tô viciada nessa música money money money kkkkkk
64	losvideosdetorbo	1:55 that dance... that style, that rythmn, that VOICES... i'm addicted. what a masterpiece.
65	Just 2 best friends	I always knew Frida had an amazing singing voice BUT HOLY HER RAP IS INCREDIBLE
66	Lekarz Kto	Looking back - Abba are more sophisticated than I thought.
67	Лилия Калинина	Супер!!! Это шедевр!!!
68	Раиса Волчек	Шедевр, нравится 👍 👍 👍
69	Вкусное Детство	Эти голоса можно слушать бесконечно,как хорошо поют!
70	Annak942	listening to this while working all day to pay the bills
71	Randy Zulf	Absolutely holds up today, and really its more true than ever.
72	Wilma maria.c	Fico horas ouvindo. Maravilha. Sem igual
73	kiriaki tsakouridou	Это наше поколение выросло на таких ансамблях и оркестров.Где они сейчас ???Какая прелесть.
74	Hira Nive	LOVE ABBA
75	francisco zeta	La estética de este video es extraordinaria , con pocos elementos luz y sombra inteligente y mucha simpleza lograron una atmósfera envolvente muy atractiva y por supuesto el tema es muy pegajoso, en este video la que se destaca totalmente es Frida se ve estupenda, buen video. Saludos desde Santiago de Chile.
76	Azamat Osmonov	I like this song most of all,Frida's voice is so sweet
77	Телефон Телефон	это моя молодость , моя любовь
78	38yom	Listen kids, money can't buy you happiness But money can buy things that makes you happy. Don't do stupid things
79	Table 2.0	Rich men: complain about gold diggers Also Rich men: hoard all the wealth and facilitate the economy that encourages gold diggers
