old_id	author	comment	origin
0	VDS	"""Gimme,Gimme, Gimme"" ""Money,Money,Money"" they not only have the best songs, they also have the best titles"	ABBA_money
2	Nicolas Cage	This song is playing on the memories.	ABBA_money
3	Bruce Danton	Truly wonderful-thank you of course!!	ABBA_money
4	Jolt Jolt	Keep singing, abba!	ABBA_money
5	Yahia Ashry	ABBA .. Evergreen 	ABBA_money
6	Halid	I want to create a time machine for to going 70'S.	ABBA_money
7	Pumpkinhead	Is it just me, or does anyone else think most ABBA songs would make great heavy metal covers? I just can't hear an ABBA song without imagining what an awesome metal song it would make. I guess when a song is great, it's just great in any genre.	ABBA_money
8	Susan Robson	I love this song Susan	ABBA_money
9	Eve Wang	Oh my freaking... my girl is learning this song for a performance	ABBA_money
10	Yli4n	I would kill to be a teenager while abba was releasing these bangers	ABBA_money
11	Hiiro Haibara	To be honest, this song is still relatable till now. How money changes everything. Work day and night, just to earn money, hoping to be happy. The song is the harsh truth of our world	ABBA_money
13	тетя негр	This is the best song I've ever heard..	ABBA_money
14	feder supertramp	MONEY MONEY MONEY... IS THE HAPPINESS FOR ALL!!	ABBA_money
15	Hoang Quan Le	When your mom lets you keep the change	ABBA_money
18	Echo Midnight	NICE SONG	ABBA_money
19	Jafs	This i will play for the weak minded in my project for sure 	ABBA_money
20	Outson Fredrick	Still true today. It's a rich person's world.	ABBA_money
21	Jackie	I don't care if my music taste is old, I love this song and I will forever.	ABBA_money
22	Jeffrey Tidwell	I was in high school when this song was released. I remember it playing over the speakers in the grocery store. My electronics class used to have the radio on low and this song would start playing. Oh the memories!	ABBA_money
23	Tristan Harley	Everyone's praising the music but can we just take a moment to appreciate this iconic cinematography?	ABBA_money
24	Fernando Fernandes	The band is Swedish, the kimonos are Japanese, the lyrics are in English, they use dollars and I'm Brazilian! ABBA is the most worldwide musical group that exists!	ABBA_money
25	GuppiePowerYT	this might just be me, but I feel like this song would make a great villain song like if someone were to make a jukebox musical with a villain obsessed with money, this song would be a perfect fit for them	ABBA_money
28	Glenn Hoddle	This song will forever be a *classic* and a *vibe.*	ABBA_money
29	Dudu Ortiz	It is just me that feels this music has a “disney villain” theme vibe?	ABBA_money
30	Kitty	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world	ABBA_money
33	kithen	1:56 omg the choreography is on point and the whole entire song itself is just perfect. I could play this song on repeat for hours	ABBA_money
34	Warenya	when you find $1 in jeans you haven't worn in a while	ABBA_money
35	Edgar Oxales Jr.	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world	ABBA_money
38	Abdullah-Al Mamun	ABBA is one of my favorites music Band in all Time	ABBA_money
39	Nellie S	This song just sounds rich, I don't know how to explain it. It just sounds expensive and luxurious. I love Frida's black outfit in this video, and I really love the way it's filmed, the lighting and all the shadows that are created. I also really like their kimonos and their dancing! Stunning video.	ABBA_money
40	Kenttä talli tähtikavio	I love this!!!	ABBA_money
41	Elod Nagy	The best ABBA song! The piano solo at the beginning is my favorite! Abba Forever! 	ABBA_money
42	Debra Montelle	I remember listening to this back in the day	ABBA_money
43	ASH piñata	Is it just me or does the song give off a half halloween vibe? I don't know, I just know that I love ABBA songs 	ABBA_money
44	giada caredda	I'm 14, in 2022, I'm still listening to this type of music, i hope that this music will never die	ABBA_money
45	Addison Leigh	I just love this song. I’ve been looking for it for a little while now. I’m glad I found this!	ABBA_money
47	steven kane	i love this song	ABBA_money
49	Alan De Jong	2021 Abba has returned. Just what the world needs. Abba has never left the stage	ABBA_money
50	Sophia Annette Georgina Simarmata	2023 and still in here, hope this type of music will never die	ABBA_money
53	RoboTube	ABBA are not just some dorks like many pop bands that have chicks. They make cool parts. The I mean, listen carefully to that piano part to that grooving bass and the rock guitar. They are legit rock , funk parts. Not just a accompanying music for the eyecandy women. Everyone likes ABBA because they have everything. Every instrument that plays is top notch, the pop is there with the hooky vocals. I dont know if these people are conscious about how fucking talented they are. This is as best as it gets in pop.	ABBA_money
54	MrFactualGaming	ABBA is one of those bands who will just never die, even after they're gone themselves!	ABBA_money
55	Daniela Pérez Martínez	I love this song 	ABBA_money
56	Moytea Colney	"Childhood memories evokes; Me:while walking the path and something look shiny  . ABBA: money,money, money. ""Those joyfully days"". % masterpiece <3 ."	ABBA_money
57	SunnySparkles	I love this tune, she tells you a story	ABBA_money
58	Yo MaMa $-$	Its 2022 and this song is still iconic	ABBA_money
61	steve ifko	Wonderful harmonies.	ABBA_money
62	Lauren	Love it!	ABBA_money
63	manu gacha :3	Tô viciada nessa música money money money kkkkkk	ABBA_money
64	losvideosdetorbo	1:55 that dance... that style, that rythmn, that VOICES... i'm addicted. what a masterpiece.	ABBA_money
65	Just 2 best friends	I always knew Frida had an amazing singing voice BUT HOLY HER RAP IS INCREDIBLE	ABBA_money
