old_id	author	comment	origin
0	KEVIN CARLSON	"I was 17 when ""The Winner Takes It All"" was released, at the same time that I got my teenage heart broken. I think I wore out my cassette tape drowning in my melancholy. Years later my girlfriend and I reunited and we're happily married. I still love the song and appreciate the brilliance of ABBA now more than ever."	ABBA
2	Gracie Star	There is a real sadness in her eyes. She is still breathtaking beautiful	ABBA
4	Denise Kemp	2022, and this song still hits hard!	ABBA
5	Joseph Gilligan	I grew up with wonderful music. I was 12 in 1980. Just superb song.	ABBA
6	Sylvain Gomez	Amazing song, amazing singer !	ABBA
7	L D hirantha2001	Everlasting performance ABBA	ABBA
9	Beth Kissel	She sang this song while going through her own divorce and you can feel her emotion in every word too. Phenomenal performance from an incredible singer !	ABBA
10	Luka unonoveseicinque	The perfect soundtrack for the Wimbledon 1980 final	ABBA
11	Robert Filg	Que momento mágico do Abba e aqui estamos em 2023 curtindo e revivendo o instante feliz que passamos.	ABBA
12	Геннадий Лысенко	An amazing song. When I listen to her, it takes my breath away and emotions overwhelm me. I am grateful to God for giving humanity this wonderful group and the beautiful Agnetha with her divine voice. There are not enough words to describe all the admiration for this team. I am sure that ABBA will be in demand at all times, their music is eternal!	ABBA
13	Eben Hawthorne	Brings back good memories.She had insane vocal range,can't be copied,.80's were the best decade of all music .Never will come around again.	ABBA
14	jeh500	Possibly the best song about a breakup. ABBA will always be magic.	ABBA
18	Lanny Sousa	Nascir numa época posterior ao lançamento dessa música, mas ela consegue, inevitavelmente, me transportar para um tempo passado que não sei precisar, parece uma regressão de tão intensa a sensação que me causa.	ABBA
26	OJOK HERMINA	The most heart warming thing about ABBA is the courage to sing about a real life experience. I don't know how Agnetha could do it when her dream love life was falling apart, she could not know how that vulnerability was to impact so many and show them how to move on graciously after heart break. Abba the group just blessed us with their clear, clean version of ballads that any age group and any nationality could enjoy. They hit East Africa like a bombshell when we were in High School and at sixty we still rock to their golden oldies! May Yahweh bless them with His Light..,	ABBA
27	Elsa scholastica diana	A very melancholic song. One you can never forget after hearing it	ABBA
28	marcio marcio	A melhor melodia que ouvi em minha vida...	ABBA
29	Anfilkins156 :0	They way this song hits me so hard even though I'm 15 and never have experienced heartbreak. Her emotion is so raw it channels through the video.	ABBA
30	Vuk Stevovic	This song always makes me cry, because my parents divorced it was so stressful for me, my mother and my sister, but we continue to live and that is the magic of life. Be good at something, don't want so much from life and enjoy. This song always lifts me up. Although it is so sad.	ABBA
36	Ellinor Augustsson	1980 the year i Was born...and still this song is a master piece...i heard my son who is 19 years old play this song in the shower a week ago  ABBA Sveriges stolthet 	ABBA
37	Manning Bartlett	I was 12 when this song came out, and didn't really like it, that was the era of Duran Duran and Gary Numan for me. Then when I was 40 I heard it on the radio, and was absolutely blown away by what a total masterpiece it is - the lyrics, the songwriting, the overall production, and of course, Agnetha's singing. Sometimes you have to grow up in order to really understand something.	ABBA
38	Marika Damiano	Song that remains imprinted in the heart  and soul 	ABBA
39	Alexandr Věchtík	Best song from the Abba. I love this song forever.	ABBA
43	alex mirabueno	One of ABBA's best... One of my faves...until today. ABBA, a musical legend, an icon ! ABBA The Great ! Thank you for your music !	ABBA
45	David Harrison	Possibly the most accurate and beautiful expression of love lost utter annihilation.	ABBA
47	hiflite2	This is Agnetha's song, and no one else's! Such emotion and heartbreak in her voice. I don't know why I'm listening to this in 2019, but I guess that's why it's a classic. This song will live forever, because a break up, is a break up, no matter where or when. Thank you ABBA, for bringing this to life.	ABBA
49	Maurice Toboul	Que de bon souvenirs sur cette chanson. Toute ma jeunesse sur ce groupe. merci vous resterez immortelle.	ABBA
50	BarryChello	as a true metal head i must say that i love this song	ABBA
54	Great Basin Power	Incredible music.	ABBA
55	Anthony Cirino	She sounds so great! Truly one of a kind	ABBA
57	Jack Jarvis	What a great vocalist. She could hold her own with any others.	ABBA
58	Kiwinz94	Born in 1963. I came back from college when I heard this song! Thanks to my grandmother born in 1916! She bought this vinile especially for me, but she loved the song too! She was from Normandy, France. Thanks my beloved grandmother, every time I hear that song, I think about the great love we had for each other! I miss you very much!	ABBA
60	Fonsinho Souza	Essa musica me leva em um passado tão lindo.	ABBA
62	F33RCETV	this is their best song. The lyrics by themselves are pure poetry on love and loss	ABBA
65	Serge Vitiello	Merveilleuse chanson 	ABBA
67	Joarce Fedorowicz	This is the best song of all times. I just love it.	ABBA
69	ZeroCool	My earliest memory of Abba was when I was little in the 1980s, my father had a Abba concert and music videos compilation on laserdisc. Even then I knew how powerful they become.	ABBA
71	On The Tools Canada	To this day, I've never heard someone sing it better. She has such a raw power and emotion through the whole song. And yes... I know the ENTIRE backstory. My parents were hardcore Abba fans and I can't tell you how many road trips took place with the ABBA gold album in the CD player in the Safari. This will always be beautiful music. FULL STOP	ABBA
74	Marcus	The greatest pop band of them all. Always and forever.	ABBA
76	Nadia	Simply amazing!	ABBA
78	Am Columbo	i really love abba, and i am always listening to this masterpeice group	ABBA
79	Debashish banerjee	I was 10 when I heard ABBA for the first time. Agnetha is a God blessed soul. 	ABBA
80	Joseph Kearney	The musical arrangement of this song is phenomenal and the singing is off the charts. I was 15 when this song came out. Where was I? You have to appreciate the genius of this song no matter the genre you prefer. It's one of the greatest..	ABBA
81	giuseppe baratti	Sublime ogni loro brano è magia.. Questo è e resterà un mito... Abba sempre per sempre 	ABBA
83	Kannan Adiseshachalam	Eternal masterpiece	ABBA
85	Kleber Medeiros	Masterpiece ! Thank you Abba for the music !!! 	ABBA
87	Deal,Deal.	Brilliant!!!goose bumps!!!	ABBA
89	D S	Goes right through the heart . . .	ABBA
91	Brendan Daly	what a band , amazing 	ABBA
92	Red Clover	Still remember hearing this in Better Call Saul (S4 I believe) such a great scene	ABBA
93	Benjamin Smith	Can you imagine the pain going through Agnetha singing this. And how strong she was for doing it. It’s my favourite ever song.	ABBA
94	sonya Russell	Love this song!	ABBA
96	Ralph Madera	What a beautiful woman! So easy to love her 	ABBA
97	George Kuenzli	One of Agnetha Fältskog's best songs.	ABBA
98	rotory wankel	The Winner Takes It All Lyrics [Verse 1] I don't wanna talk About things we've gone through Though it's hurting me, now it's history I've played all my cards And that's what you've done, too Nothing more to say, no more ace to play [Chorus] The winner takes it all The loser's standing small Beside the victory That's her destiny [Verse 2] I was in your arms Thinking I belonged there I figured it made sense, building me a fence Building me a home Thinking I'd be strong there But I was a fool playing by the rules [Chorus] The gods may throw a dice Their minds as cold as ice And someone way down here Loses someone dear The winner takes it all (Takes it all) The loser has to fall (Has to fall) It's simple and it's plain (It seems plain) Why should I complain? (Why complain) [Verse 3] But tell me, does she kiss Like I used to kiss you? Does it feel the same when she calls your name? Somewhere deep inside You must know I miss you But what can I say? Rules must be obeyed [Chorus] The judges will decide (They decide) The likes of me abide (We abide) Spectators of the show (Of the show) Always staying low (Staying low) The game is on again (On again) A lover or a friend (Or a friend) A big thing or a small (Big or small) The winner takes it all (Takes it all) [Verse 4] I don't wanna talk If it makes you feel sad And I understand, you've come to shake my hand I apologize If it makes you feel bad Seeing me so tense, no self-confidence [Bridge] But you see, the winner takes it all The winner takes it all [Outro] (So the winner) (Takes it all) (And the loser) (Has to fall) (Throw a dice) (Cold as ice) (Way down here) (Someone dear) (Takes it all) (Has to fall) (It seems plain) (Why complain)	ABBA
100	Freddy Bee	Never gets old.	ABBA
101	Aidan Arnott	This song unravels every thread of my sanity without fail	ABBA
102	Volkan	That music touched my heart 	ABBA
103	Jacqueline Mullan	The best written song by Abba the lyric and emotion behind the song is incredible.	ABBA
104	Warrior Princess	I love ABBA 	ABBA
105	josef höllenbauer	My Love departed from me last September for another guy ... this song perfectly expresses what's going on in me. (This and Yesterday from the Beatles.) One is the winner and gets everything. The other one the loser, losing all.	ABBA
106	Χρυσούλα  Μιχάλα	Classic and wonderful!	ABBA
107	Vijay Nair	This song means a lot to Jimmy and Charles McGill.	ABBA
108	Lydia Matthews	My absolute favorite ABBA song. It still makes you want to sing along.	ABBA
111	Annissa Coggins	You can really see the pain in her eyes as she sings this song	ABBA
112	GICHANG KIM	"ABBA  Agnetha ""The Winner takes it all""    .   ."	ABBA
113	Kyle Fredericks	Thank you to Jimmy and Chuck McGill for reminding me that this incredible song exists	ABBA
114	Eric Johnson	All I can say, this song BREAKS your heart. I'm so Sorry for the pain! God Bless You!!	ABBA
115	Сергей Безлепкин	Agnetta is a sweet creature with a wonderful voice. ABBA is the best band of the 80s.	ABBA
116	Armando Aldana	best most beautiful song ive ever heard !!	ABBA
117	Kelly Barahona	amo a ABBA LOVE MUCICA BEYA	ABBA
118	David Hope	Masterpiece for eternity.	ABBA
119	spencer thoroughman	There's so much to be said This song says it all	ABBA
120	Sophia Marquis	So Pure, beautiful and special. 	ABBA
121	junjun yongyong	Beautiful voice	ABBA
122	Слава Ж	Beautiful!!!	ABBA
123	Marlyn Franco1984	I cry almost everytime I sing this	ABBA
124	Jeff Edwards	She is as beautiful as her voice!!	ABBA
125	Sarah dynnesen	Love it	ABBA
126	Viri Z	I dedicated this song to my husband	ABBA
127	christiane kuschel	Björn and Benny were „pushing“ the women to give their best (and beyond) in every recording. Especially in this record. Agnetha‘s voice is so crystal clear, so brilliant in every note. AND full of pain. A masterpiece.	ABBA
129	David	What is also noticeable with this song is that anyone who does a cover of it just cannot carry it off like Agnetha and Abba. Same with all their songs, really	ABBA
130	TUHIRIRWE AGATHA	I cannot stop listening to this song	ABBA
133	John Paterson	Reminds me of the most beautiful girl and a wild affair, I miss and love her forever in my heart	ABBA
