	author	comment
0	mongchilde	Well....not looked at this video in a long time. 9 years on and over 417 million views. My love for Pink Floyd has not faltered over the years and good to see that's the case with many people the world over!
1	The Sound Of Toulouse	Don't worry... you're not the only one who is listening this masterpiece in *2022*
2	Николай Соколов	Вне времени! Бесподобно! Спасибо! Низкий поклон! Снимаю шляпу! С уважением из России!...!
3	mingau	meu pai vivia escutando essa,eu morria de medo 😿 atualmente eu consigo entender
4	Wilde Cat	Still breathtaking after all these years & Britain the land of most of the world's legendary rock bands.
5	Erdem Genç	Mükemmel bir melodi. Yakıyor içimi
6	WanderingKit	This song is not anti-school, it's against a certain type of education system.
7	Nices Creuza	Bom demais
8	масик сушняк	песня со смыслом
9	Dominicano1923	One of the best songs ever
10	Андрей Борискин	Актуально, как никогда! Современная система образования убивает индивидуальность. На выходе имеем фарш.
11	Gaming Palooza Empire	there is very few songs that i consider perfect. this is one of them.
12	Evan Sawyer	"""I dont want a nation of thinkers, I want a nation of workers."" - John D Rockefeller, founder of U.S. General Education Board"
13	Felipe Ortiz🇨🇱	Pink floyd ..siempre y sera mejor que led zepellin
14	Jhon jairon Cancino zapata	Este género musical nunca pasará de moda..siempre se mantendrá vigente
15	KA27	To everyone who is reading this don't worry, We will never stop listening to this or any of their other masterpieces. Their music transcends generations
16	sha11235	This song should be played at school graduations.
17	Laura Simas	essa música é simplesmente genial! som, letra...clipe... tudo!
18	Haas	my dad showed me this song when I was super little. he was a huge pink floyd song, and I always remembered vaguely how the song went but didn't know what it was called. this was the song. new core memory unlocked
19	Владимир Мендубаев	Ещё раз спасибо за Великую музыку...
20	Elorea Dunn	These guys are and forever will be LEGENDS.
21	ipdo	The song is 40 years old, based on schools 60 years ago/1950s and yet still relevant today. Edit: wow didn’t expect this comment to get that many replies
22	манзура кормухина	Эта группа -моя молодость,просто обожаю!голоса это нечто,и что бы не слушала просто ностальжи ...клааассс,если такие группы сейчас -вопрос....
23	Susanne Zoller	Bravo Pink Floyd. For me you are still one of the best groups in the world.
24	Саша Грицюк	На мой взгляд-- этот вечный хит претендует на первое место в топе 20 века.
25	Adriana Coelho	Quanto è attuale questo video è questa canzone... quanta metafora ricca di messaggi!!! Affascinante argomento per la psicologia sociale, psicologia della devianza... conflitti generazionale che spinge all'evoluzione e al cambiamento. La teoria della conformità , teoria dei comportamenti e della norma di gruppo. Quanto siamo conformisti, o quanto siamo in grado di produrre cambiamenti proattivi?
26	matthewjames	The song is about killing a child’s individuality and uniqueness. Putting them through the “system,” turning them into just “another brick in the wall.”
27	Rachael Masters	Brilliant song 👍👍
28	Nicolas Navia	One of the best songs of all time💯
29	LAUANE SOUSA	Essa música me faz lembrar meu tio falecido. Ele amava Rock por ele eu comecei a gostar 👌🤘😎🤘
30	aron gonzalec	Muy buenos siempre. Un saludo desde Asturias (España)
31	ALM	"When the kids say ""we don't need no education"" they don't mean they are against knowledge and learning, they mean they don't want that kind of repressive education that treats them as machine who serve to a purpose and don't let them think freely."
