old_id	author	comment	origin
0	mongchilde	Well....not looked at this video in a long time. 9 years on and over 417 million views. My love for Pink Floyd has not faltered over the years and good to see that's the case with many people the world over!	Pink Floyd
1	The Sound Of Toulouse	Don't worry... you're not the only one who is listening this masterpiece in *2022*	Pink Floyd
4	Wilde Cat	Still breathtaking after all these years & Britain the land of most of the world's legendary rock bands.	Pink Floyd
6	WanderingKit	This song is not anti-school, it's against a certain type of education system.	Pink Floyd
7	Nices Creuza	Bom demais	Pink Floyd
9	Dominicano1923	One of the best songs ever	Pink Floyd
11	Gaming Palooza Empire	there is very few songs that i consider perfect. this is one of them.	Pink Floyd
12	Evan Sawyer	"""I dont want a nation of thinkers, I want a nation of workers."" - John D Rockefeller, founder of U.S. General Education Board"	Pink Floyd
13	Felipe Ortiz	Pink floyd ..siempre y sera mejor que led zepellin	Pink Floyd
15	KA27	To everyone who is reading this don't worry, We will never stop listening to this or any of their other masterpieces. Their music transcends generations	Pink Floyd
16	sha11235	This song should be played at school graduations.	Pink Floyd
18	Haas	my dad showed me this song when I was super little. he was a huge pink floyd song, and I always remembered vaguely how the song went but didn't know what it was called. this was the song. new core memory unlocked	Pink Floyd
20	Elorea Dunn	These guys are and forever will be LEGENDS.	Pink Floyd
21	ipdo	The song is 40 years old, based on schools 60 years ago/1950s and yet still relevant today. Edit: wow didn’t expect this comment to get that many replies	Pink Floyd
23	Susanne Zoller	Bravo Pink Floyd. For me you are still one of the best groups in the world.	Pink Floyd
26	matthewjames	The song is about killing a child’s individuality and uniqueness. Putting them through the “system,” turning them into just “another brick in the wall.”	Pink Floyd
27	Rachael Masters	Brilliant song 	Pink Floyd
28	Nicolas Navia	One of the best songs of all time	Pink Floyd
31	ALM	"When the kids say ""we don't need no education"" they don't mean they are against knowledge and learning, they mean they don't want that kind of repressive education that treats them as machine who serve to a purpose and don't let them think freely."	Pink Floyd
32	Daniel Aregger	THE masterpiece never loses its relevance. i get goosebumps everytime i listen	Pink Floyd
33	ammer2a	Aż się łezka w oku kręci jak ten czas zapierdala! Prawdopodobnie this is the best song ever!	Pink Floyd
34	TY73R	15 years old, been listening to Pink floyd since I was 11 Never lets me down!	Pink Floyd
35	maria antonia moreira sampaio	Eu  as músicas do Pink Floyd	Pink Floyd
36	Ivona Nesic	my teacher used to play this when we were younger, now, 5 years later i actually understand what it's about	Pink Floyd
37	Renato Paone	il top	Pink Floyd
38	Carlos DaGama	This album in quad just blew my mind. The sound just zipped around the room. Beautiful. :)	Pink Floyd
40	Savage Hector	Another genius with a master piece way ahead of its time 	Pink Floyd
41	nana	okay but this song makes me feel like I should put this on the school speakers without getting caught	Pink Floyd
42	KEY-SAN	This song is sooooooooooo good! I really love this work of art of music!	Pink Floyd
45	Grzegorz Szatten	Uwielbiam ten film, to nagranie, no i sam zespół, od początku jego istnienia, jestem zafascynowany ich muzyką, czasami jak słucham jakiegoś utworu , to mam łzy w oczach !!!	Pink Floyd
46	Demián Ramírez Jiménez	Pink Floyd was way ahead of its time.	Pink Floyd
47	Reza Razavi	This album in the world of music is what Davincci's Last Supper is in the world of paintings. TIMELESS AND ETERNAL	Pink Floyd
48	Marcelo Affonso da Silva	Essa música é banda um clássico.	Pink Floyd
49	liz addams	i don't even wanna know the controversy this caused when it originally was released. brilliant and timeless classic with a strong message. big love	Pink Floyd
50	Raffaele Palma	Bellissimo video.	Pink Floyd
51	Bruno Rocha	This song isn't just about education system. It's about the whole system. Think!	Pink Floyd
52	bisonette5	I'm 80...for many years, even more so now, i know how this song nailed it.	Pink Floyd
54	Sonu Gupta	Keep your hands off my stacks still the best poem	Pink Floyd
55	Brian Muyengwa	'Money gets back am alright Jack keep your hands off my stake,' this line is nostalgic,great from PINK FLOYD	Pink Floyd
56	Denise White	I'm already in my 50s and let me tell all of you, you have no idea the chaos this song caused. It was banned from the radio stations but the stations didn't care they played it anyway.	Pink Floyd
57	Mat	My goodness, I really need to get more back into Pink Floyd.	Pink Floyd
60	Michael Gostich	What a song, what a CONTEMPORARY MEANING. I was surprised that Pink Floyd was allowed to produce this song. CONGRATULATION.	Pink Floyd
61	Dion Share	I've never been a big Pink Floyd fan. But this song holds a special place for me. I love it.	Pink Floyd
62	Stéphanie Baillargeon	Depuis que je suis toute petite que j’écoute du Pink Floyd et je vais l’écouter jusqu’à ma mort c’est toujours bon j’ai 44 ans et je n’écoute encore 	Pink Floyd
63	senu da	back in the day when music has deep meaning and philosophy	Pink Floyd
64	Joni Pires	Ousso pink Floyd e sinto - me imortal assim como o bravo conjunto de Pink Floyd , essência do meu bem viver 	Pink Floyd
66	Bella Legosi	Pink Floyd will always be relevant. Their music is actual art.	Pink Floyd
68	Lester Hale	Damn I got to say I've Loved this song for 40-something years and this is my first time seeing this video which only makes me love it more	Pink Floyd
69	Catherine	Never gets old 	Pink Floyd
70	Maria Lorenzo	I made sure all my three boys listened to this song before starting school. Today they still love this amazing band …. Who wouldn’t?	Pink Floyd
71	Karim Marhraoui	The director, Alan Parker, doesn't get any credit. The technical aspects of this scene (hell of this entire movie) are mind-blowing. The average person will simply enjoy the song which is of course a masterpiece but the fact that someone thought to shoot this scene this way in the 1980s is astonishing. May you rest in peace, Mr. Parker. You will forever be remembered for giving us such a feast for the eyes.	Pink Floyd
72	Lorraine Laino	I remember Pink Floyd when I was 15yrs old 1973 Dark Side of The Moon,one of the best albums ever made. And to this I play this album what a happy memory I have!!.	Pink Floyd
74	kiraz	This song somehow brings me into childhood. Love from 	Pink Floyd
