	author	comment
0	matts malmberg	One Of The Greatest! Films of All Time!
1	Jackie Sharp	My mother's favourite film, I didn't know why till I watched it when I was older.
2	永子	粕谷さんは、巴にとってレットのような人です。だから絶対に離れません‼️❤️
3	Stuart Sullivan	Brilliant movie full of gusto action and sadness. Hardship and loss are a terrible thing to withstand but it can be overcome. This film is an inspiration ❤
4	永子	いつも 粕谷さんに包まれている感じがして、心地よいです ありがとう❤️ 愛してます🌹
5	Ирина И	Прекрасный фильм актеры музыка.Пройдет ещё сто лет а люди будут п родолжать восхищаться этим творением !!
6	Glso	Chaves copiou
7	PREZofUSSA	This song epitomizes the magic of true cinema
8	Jackie Sharp	It was my mum's favourite film, and I love it to especially this tune.
9	Ayat Ullah	900 hundreds eyers ago when railway station facility
10	Jackie Sharp	Seems like everybody wants to forget history but these things happened and should not be forgotten. Great film.
11	Jackie Sharp	How could they wear those frocks?
12	Brk's Miguel	Professor Girafales! Dona Florinda! Que milagre o senhor por aqui! Vim lhe trazer esse humilde presente! Não gostaria de entrar e tomar uma xícara de café? Não seria muito incômodo? Claro que não. Queira entrar. Depois da senhora.
13	Honesto Villareal	Frankly my dear, I DON'T GIVE A DAMN.
14	Tara Tara	My mom loved this movie and the theme song,, this is why my name came about ( not to mention she is also Irish)
15	Gheorghe Moldovan	Nu imi place muzica ...ok.🙈
16	DigiVyu	Dona Florinda: não gostaria de entrar para tomar uma xicara de café ? 😍 Professor Girafalez: e não seria muito incomodo ? Dona Florinda: claro que não, pode entrar Professor Girafalez: depois da senhora
17	Maria  Miquel	Your favourite film, my True Love, but YOU won't ever go with the wind. You will be always here, in the whole world and especially in my Heart that will be Yours Forevermore. Salem ❤ Anton Szandor LaVey. Shemhamforash.
18	Maria  Miquel	And this 31 ... LaVey's Halloween ... ❤🤘
19	Maria  Miquel	For you, my everlasting Love. Today, in Your day, and always. Thanks for saving my life from a secure death. The Only really Brave Heart who dared to fight against God's Tyranny. The First and Last Cavalier who fought for the Freedom, for the Peace, for the Truth and Love. Please, if you wish, search information about Him. I assure and promise you all that Anton Szandor LaVey will help you as He helped me. I love you, my beloved, beauty and good Husband. Forevermore. Shemhamforash. (Salem, always Yours) 🤘❤
20	Luis Martins	Que linda era Vivien!❤️
21	Dog Lover	A good movie for anyone who needs to learn that a life of privilege does not always mean that you get what you want all the time and that privileged people also suffer.
22	Lucinda Moran	Best video short I have ever ❤ seen! With the original beautiful music ! Thank you! Thank you! Tank you!
