	Comments
LIBERTY MAN	"🎸🥁🎸🥁🎸🥁🎸🥁🎸🥁🎸🥁🎸🥁🎸
🎤🎶🎤🎶🎤🎶🎤🎶🎤🎶🎤🎶🎤🎶🎤
🤘😇"
Sophie Samb	😢😢😢😢😢😢😢! Non! Je vs aime .number one....
Marika Damiano	Song that remains imprinted in the heart ♥️ and soul ❤️
Carolina Olson	I left My country in 1980 due to a civil ward I left all My good friends specifically My childhood house Were I grew up. I was so sad but now I am USA citizen And I love this country. But I still miss My childhood friends.
Son whare	Resonance
esha handayani sman1 karawang jawa barat	since my father he passed away good d i like this sings tje winner takes it all...
Luciano Rafael	Amigo meu que faleceu amava abba
JAMESBONG100	They say she’s a man!
Jose Sanchez	RATONES MALDITOS
Lisa Alherez	Ali Alherz lied to you so he could keep all the money
Roey Earl	This song should be mandatory in every casino
Paco Ortega	Abba golf. Is.   Famos. The.  Mundial
RAMON VEGAS	Linda musica ,nos leva ao passado .
metin karadag	What a song .......
Steve	The best Abba song.
Justyna Dominiak	🎖🏅...🏆🏆🏆
Robert Filg	Que momento mágico do Abba e aqui estamos em 2023 curtindo e revivendo o instante feliz que passamos.
Italrish	Wow, she could really sing.
Evelyne GROLLEAU	J'adore 🌹🌹🌹
not bad for a noob	2:11 lips
Марина Ветрова	Лучшая песня о любви на все времена!
knights of ren	This is very hurting if you really understand the lyrics.
alex mirabueno	"One of ABBA's best...
One of my faves...until today.
ABBA, a musical legend, an icon 👍!
ABBA The Great 👍!
Thank you for your music 👏👏👏👍❤️!"
Kdevin Turner	There are some beautiful things from Sverige.  Who is KORG?
Osama toty	"اليك اكتب .. 
Chiquitata Hawafrita .. 😂💖☺️"
Gerluce Borges	Inesquecível canção. 15: 01: 2023 momentos lindos eu vivi
Svetlana Perlova	ILiYA BUH 1964__1984 evpatoriya
Ann Pilkington	60 , lol same era, just didn't come out of it well
Edu J	The Winner Takes It All. 🙂⚘️
Marianna Nani	❤️❤️❤️❤️💔❤️
Stalevar	"the line - ""tell me, does she kiss, like I used to kiss you?""... sang so naturally. she really asks i she is better then her. Amazing!"
Gül Atasya	Acısını hissediyorum, onun yanında ona yazdığı bu şarkıyı söylemek ne zor olmuştur. Anetta hariç hiçbiri kameraya bakamıyor bile. Çok seven tüm kadınların kaderi bu şarkı, ne yazık ki
Walcir Previtale Bruno Dantas de Oliveira	Lembro da minha infância em São Paulo. Marcou uma época.
Raquel garcia	meu Momo amava essa música 💔😢💓
Volkan	That music touched my heart ❤️‍🩹
Sophia Marquis	So Pure, beautiful and special. ❤️
Cristina Santos	♥️😔👑🐺
Red Clover	Still remember hearing this in Better Call Saul (S4 I believe) such a great scene
HASSAN DOUKKALI	un vainqueur est le Seigneur fils de Marie au sens où il n'a pas de père humain
Rosario Celia Bertuchi Mas	Song of my life, so beautifull but sad..... wonderfull for me, from Málaga. Spain 💝
Kerstin Wassermann	Ich hätte an Agnetha's Stelle, diesen Song nicht gesungen. Dieser Björn war für mich von Anfang an, ein Spinner.
Ed Garzzi	ABBA has a very special place in my life,,
M	When i was 13 I met a boy who I fell head over heals for. He did not want me. This still hurts after all these years... never fallen in love again.......'you must know I miss you'
Gisele Strauch	"sums up this group""s experiences in life"
Fernanda Coelho	2023☝️
salvatore buffo	melodico suono!!!!💙💙💙
ze	سيم
d mary	Prekrasna Agneta....prekrasna pjesma ❤
JobsItStudy	Wonder Full!!!!!!!!!!  ABBA.........  just like Sohyang !!!!!!!
Ник Иванов	Никаких кривляние,никаких ботексов, никакой фанеры, все естественно,женский шарм,обаяние,голос,и домашний тепло и уют, оказывается как мало нужна быть легендой.
Slava Marmeladova	Прекрасно.Скромность ,элегантнтность и талант.
Jonathan Baxley	iive studyied this closely.youve just seen the best preformance ever given by a female preformer.
Ricardo Caldeira	AYRTON SENNA
M. Leslie	So when I studied abroad in France, I took my mom to Switzerland. She always dreamt of seeing the alps…, and I was able to give her that gift. It’s so weird that this song reminds me of jungfrau top of Europe…, anyway be safe and warm and loved this new year!
ZeroCool	My earliest memory of Abba was when I was little in the 1980s, my father had a Abba concert and music videos compilation on laserdisc. Even then I knew how powerful they become.
имя видят все	Ich Liebe Dich maine Leibe..Elsie💜💜💜
Yoan Manurip	😢😢😢😢😢
гагара	Люблю вас Abba муза моего детства. Лилия. Ургенч
алексей к	Это  шедевр!!!!
Валерий Кичкаев	Песню написал Бьорн после того как они расстались с Агнетой
Leonor Dardon	Este grupo ABBA buenísimo siempre desde muchos años atrás muy especial 💓 su música excelente
Alberto Villanueva Rojas	Que bella cxancion Agnetta,, te remontastes bien alto en los corazones de la gente
Carla Rainel	Agora que fiquei sabendo o porque gravaram essa canção, a cara deles, principalmente delas faz todo sentido! Amo a Agnetha!! ABBA eterno❤❤❤❤
Madison Ponicappo	It kills me when she say 'youve come to shake my hand'
Ирина Иванова	Посмотрите историю этой песни... Почему Мирей Матье ее тоже пела... Интернет вам в поиск... А песня изумительная!!!
Marielle Martin	Reminds me of someone I loved very much. He's been living in another city for 25 years. Still miss him.
OJOK HERMINA	The most heart warming thing about ABBA is the courage to sing about a real life experience. I don't know how Agnetha could do it when her dream love life was falling apart, she could not know how that vulnerability was to impact so many and show them how to move on graciously after heart break. Abba the group just blessed us with their clear, clean version of ballads that any age group and any nationality could enjoy. They hit East Africa like a bombshell when we were in High School and at sixty we still rock to their golden oldies! May Yahweh bless them with His Light..,🙏🏾💕
